Designator,Mid X,Mid Y,Rotation,Layer
D55,269.5,-68.0,270.0,top
D56,268.0,-68.0,270.0,top
D57,266.5,-68.0,270.0,top
D58,265.0,-68.0,270.0,top
D59,263.5,-68.0,270.0,top
D6,265.0,-77.0,270.0,top
D60,262.0,-68.0,270.0,top
D61,260.5,-68.0,270.0,top
D62,259.0,-68.0,270.0,top
D63,257.5,-68.0,270.0,top
D64,256.0,-68.0,270.0,top
D65,272.5,-53.0,270.0,top
D66,271.0,-53.0,270.0,top
D67,269.5,-53.0,270.0,top
D68,268.0,-53.0,270.0,top
D69,272.5,-65.0,270.0,top
D7,263.5,-77.0,270.0,top
D70,271.0,-65.0,270.0,top
D71,269.5,-65.0,270.0,top
D72,268.0,-65.0,270.0,top
D73,266.5,-65.0,270.0,top
D74,265.0,-65.0,270.0,top
D75,263.5,-65.0,270.0,top
D76,262.0,-65.0,270.0,top
D77,260.5,-65.0,270.0,top
D78,259.0,-65.0,270.0,top
D79,257.5,-65.0,270.0,top
D8,262.0,-77.0,270.0,top
D80,256.0,-65.0,270.0,top
D81,272.5,-50.0,270.0,top
D82,271.0,-50.0,270.0,top
D83,269.5,-50.0,270.0,top
D84,268.0,-50.0,270.0,top
D85,272.5,-62.0,270.0,top
D86,271.0,-62.0,270.0,top
D87,269.5,-62.0,270.0,top
D88,268.0,-62.0,270.0,top
D89,266.5,-62.0,270.0,top
D9,272.5,-77.0,270.0,top
D90,265.0,-62.0,270.0,top
D91,263.5,-62.0,270.0,top
D92,262.0,-62.0,270.0,top
D93,260.5,-62.0,270.0,top
D94,259.0,-62.0,270.0,top
D95,257.5,-62.0,270.0,top
D96,256.0,-62.0,270.0,top
D97,272.5,-47.0,270.0,top
D98,271.0,-47.0,270.0,top
D99,269.5,-47.0,270.0,top
J1,219.5,-35.5,180.0,top
J2,231.803627,-71.0618,270.0,top
J3,215.23,-68.35,0.0,top
J4,244.280202,-69.78434,270.0,top
J6,243.154746,-60.512892,90.0,top
R1,214.779925,-53.272261,180.0,top
R10,237.5,-56.0,180.0,top
R15,225.5,-57.01,90.0,top
R2,214.779925,-52.272261,180.0,top
R3,229.655466,-58.366575,270.0,top
R4,230.618753,-58.367038,270.0,top
R5,237.425555,-53.803835,0.0,top
R6,243.5,-56.289985,90.0,top
R7,245.5,-56.49,270.0,top
R8,237.51,-58.0,180.0,top
R9,237.478827,-57.004287,180.0,top
SW1,210.65,-53.1,90.0,top
U1,228.7,-63.4375,90.0,top
U2,220.15,-56.5,0.0,top
U3,228.095,-50.4125,0.0,top
U4,241.5,-52.23,270.0,top
Y1,222.6,-69.15,180.0,top
